Account info: Library Tag;Machine(s): Last contact;Machine(s): Last inventory;Machine(s): Operating system;Machine(s): User;Machine(s): User agent;Computer;
1-001-P;2017-05-23 16:54:55;2017-05-23 16:54:55;Microsoft Windows 10 Education;ekoma1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC01;
1-002-P;2017-05-22 23:30:09;2017-05-22 23:30:09;Microsoft Windows 10 Education;aokg4;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC02;
1-005-P;2017-05-23 14:40:54;2017-05-23 14:40:54;Microsoft Windows 10 Education;savage3;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC05;
1-007-P;2017-05-21 22:12:48;2017-05-21 22:12:48;Microsoft Windows 10 Education;tmahari1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC07;
1-008-P;2017-05-23 08:06:47;2017-05-23 08:06:47;Microsoft Windows 10 Education;smorge1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC08;
1-009-P;2017-05-22 23:39:22;2017-05-22 23:39:22;Microsoft Windows 10 Education;cajulia1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC09;
1-010-P;2017-05-23 17:16:25;2017-05-23 17:16:25;Microsoft Windows 10 Education;aokg15;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC10;
1-011-P;2017-05-22 23:53:28;2017-05-22 23:53:28;Microsoft Windows 10 Education;skrish2;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC11;
1-014-P;2017-05-23 05:42:58;2017-05-23 05:42:58;Microsoft Windows 10 Education;skahsai1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC14;
1-015-P;2017-05-22 23:17:14;2017-05-22 23:17:14;Microsoft Windows 10 Education;aokg3;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC15;
1-016-P;2017-05-22 19:12:01;2017-05-22 19:12:01;Microsoft Windows 10 Education;htekle1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC16;
1-017-P;2017-05-23 00:47:26;2017-05-23 00:47:26;Microsoft Windows 10 Education;htekle1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC17;
1-02-P;2017-05-22 19:16:14;2017-05-22 19:16:14;Microsoft Windows 10 Education;fam4;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC42;
1-024-P;2017-05-23 16:01:22;2017-05-23 16:01:22;Microsoft Windows 10 Education;rafay1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC24;
1-025-P;2017-05-23 11:03:07;2017-05-23 11:03:07;Microsoft Windows 10 Education;anoble1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC25;
1-027-P;2017-05-22 10:09:36;2017-05-22 10:09:36;Microsoft Windows 10 Education;ro13;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC27;
1-028-P;2017-05-23 01:51:12;2017-05-23 01:51:12;Microsoft Windows 10 Education;dingy1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC28;
1-029-P;2017-05-22 21:16:03;2017-05-22 21:16:03;Microsoft Windows 10 Education;Zar1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC29;
1-030-P;2017-05-19 15:20:03;2017-05-19 15:20:03;Microsoft Windows 10 Education;aokg1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC30;
1-031-P;2017-05-22 23:45:09;2017-05-22 23:45:09;Microsoft Windows 10 Education;htekle1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC31;
1-038-P;2017-05-22 23:39:10;2017-05-22 23:39:10;Microsoft Windows 10 Education;miles4;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC38;
1-039-P;2017-05-22 23:34:46;2017-05-22 23:34:46;Microsoft Windows 10 Education;aperry1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC39;
1-040-P;2017-05-22 23:30:45;2017-05-22 23:30:45;Microsoft Windows 10 Education;bhorne1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC40;
1-041-P;2017-05-23 12:22:54;2017-05-22 23:45:13;Microsoft Windows 10 Education;hsu4;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC41;
2-01-P;2017-05-23 15:56:34;2017-05-23 15:56:34;Microsoft Windows 10 Education;rostan1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC01;
2-02-P;2017-05-23 11:27:32;2017-05-23 11:27:32;Microsoft Windows 10 Education;doriala1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC02;
2-03-P;2017-05-23 11:02:16;2017-05-23 11:02:16;Microsoft Windows 10 Education;eburch2;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC03;
2-04-P;2017-05-23 06:02:35;2017-05-23 06:02:35;Microsoft Windows 10 Education;parksva1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC04;
2-05-P;2017-05-23 08:05:24;2017-05-23 08:05:24;Microsoft Windows 10 Education;mi27;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC05;
2-06-P;2017-05-23 16:12:01;2017-05-23 16:12:01;Microsoft Windows 10 Education;deluty;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC06;
2-07-P;2017-05-23 10:01:51;2017-05-23 10:01:51;Microsoft Windows 10 Education;chen19;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC07;
2-09-P;2017-05-23 10:03:44;2017-05-23 10:03:44;Microsoft Windows 10 Education;justinc2;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC09;
2-10-p;2017-05-23 05:43:23;2017-05-23 05:43:23;Microsoft Windows 10 Education;aokg10;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC10;
2-11-P;2017-05-23 00:00:52;2017-05-23 00:00:52;Microsoft Windows 10 Education;cheryl6;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC11;
2-12-p;2017-05-22 16:23:25;2017-05-22 16:23:25;Microsoft Windows 10 Education;jordan24;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC12;
2-13-P;2017-05-01 12:28:29;2017-05-01 12:28:29;Microsoft Windows 10 Education;isis1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC13;
Doitlabspc;2017-05-22 00:54:54;2017-05-22 00:54:54;Microsoft Windows 10 Education;hasa1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC01;
Doitlabspc;2017-03-29 15:05:32;2017-03-29 12:35:15;Microsoft Windows 10 Education;roy7;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC02;
Doitlabspc;2017-05-23 17:28:47;2017-05-23 17:28:47;Microsoft Windows 10 Education;Drapha1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC04;
Doitlabspc;2017-05-23 06:17:52;2017-05-22 21:05:53;Microsoft Windows 10 Education;rkeim1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC05;
Doitlabspc;2017-05-21 23:31:05;2017-05-21 23:31:05;Microsoft Windows 10 Education;magee1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC06;
Doitlabspc;2017-05-23 16:28:43;2017-05-23 16:28:43;Microsoft Windows 10 Education;dtcheuf1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC10;
Doitlabspc;2017-05-23 11:18:45;2017-05-23 11:18:45;Microsoft Windows 10 Education;densuk1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC12;
Doitlabspc;2017-05-23 16:23:55;2017-05-23 16:23:55;Microsoft Windows 10 Education;Drapha1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC22;
LIB037PC31;2017-05-23 09:09:41;2017-05-23 09:09:41;Microsoft Windows 10 Education;jackim1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC31;
LIB037PC32;2017-05-22 23:42:55;2017-05-22 23:42:55;Microsoft Windows 10 Education;bhuk1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC32;
LIB037PC33;2017-05-23 09:23:55;2017-05-23 09:23:55;Microsoft Windows 10 Education;muddin1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC33;
LIB037PC34;2017-05-22 23:31:40;2017-05-22 23:31:40;Microsoft Windows 10 Education;jconn1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC34;
LIB037PC35;2017-05-23 14:04:24;2017-05-23 14:04:24;Microsoft Windows 10 Education;brewer4;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC35;
LIB1PC03;2017-05-23 10:54:43;2017-05-23 01:35:32;Microsoft Windows 10 Education;hamdiw1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC03;
LIB1PC06;2017-05-23 12:39:12;2017-05-22 23:32:59;Microsoft Windows 10 Education;n30;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC06;
LIB1PC12;2017-05-22 23:42:23;2017-05-22 23:42:23;Microsoft Windows 10 Education;granth2;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC12;
LIB1PC32;2017-05-23 03:57:51;2017-05-23 03:57:51;Microsoft Windows 10 Education;janampa1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC32;
LIB1PC33;2017-05-22 18:08:27;2017-05-22 18:08:27;Microsoft Windows 10 Education;aokg10;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC33;
LIB1PC46;2017-05-23 09:39:30;2017-05-23 09:39:30;Microsoft Windows 10 Education;TR09334;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC46;
LIB1PC47;2017-05-23 01:30:01;2017-05-23 01:30:01;Microsoft Windows 10 Education;asif1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC47;
LIB1PC49;2017-05-23 09:45:13;2017-05-23 09:45:13;Microsoft Windows 10 Education;oo09976;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB1PC49;
LIB2PC08;2017-05-23 07:44:01;2017-05-23 07:44:01;Microsoft Windows 10 Education;kmoon1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC08;
LIB2PC18;2017-05-23 11:43:10;2017-05-23 11:43:10;Microsoft Windows 10 Education;aokg3;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB2PC18;
LIB3PC01;2017-05-23 10:54:21;2017-05-23 10:54:21;Microsoft Windows 10 Education;Vcarol1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB3PC01;
LIB3PC02;2017-05-21 23:46:37;2017-05-21 23:46:37;Microsoft Windows 10 Education;mamu1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB3PC02;
LIB3PC03;2017-05-23 00:29:23;2017-05-23 00:29:23;Microsoft Windows 10 Education;ricke1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB3PC03;
LIB3PC04;2017-05-23 07:03:10;2017-05-22 23:40:59;Microsoft Windows 10 Education;angufor1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB3PC04;
LIB3PC05;2017-05-21 14:52:54;2017-05-21 14:52:54;Microsoft Windows 10 Education;baha1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB3PC05;
LIB4PC01;2017-05-22 13:44:31;2017-05-22 13:44:31;Microsoft Windows 10 Education;avong1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB4PC01;
LIB4PC02;2017-05-23 09:07:37;2017-05-23 09:07:37;Microsoft Windows 10 Education;brake1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB4PC02;
LIB4PC03;2017-05-23 14:38:18;2017-05-23 14:38:18;Microsoft Windows 10 Education;jackim1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB4PC03;
LIB4PC04;2017-05-23 10:23:13;2017-05-23 10:23:13;Microsoft Windows 10 Education;ckim14;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB4PC04;
LIB4PC05;2017-05-23 15:58:06;2017-05-23 15:58:06;Microsoft Windows 10 Education;moody1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB4PC05;
LIB4PC06;2017-05-23 08:51:41;2017-05-23 08:51:41;Microsoft Windows 10 Education;rbatt1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB4PC06;
LIB4PC07;2017-05-23 13:00:16;2017-05-23 13:00:16;Microsoft Windows 10 Education;spatel34;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB4PC07;
LIB4PC08;2017-05-23 17:05:18;2017-05-23 17:05:18;Microsoft Windows 10 Education;aokg3;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB4PC08;
LIB4PC09;2017-05-23 08:52:47;2017-05-23 08:52:47;Microsoft Windows 10 Education;jackim1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB4PC09;
LIB4PC10;2017-05-23 15:44:58;2017-05-23 15:42:16;Microsoft Windows 10 Education;htekle1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB4PC10;
LIB4PC11;2017-05-23 09:24:55;2017-05-23 09:24:55;Microsoft Windows 10 Education;aokg99;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB4PC11;
LIB4PC12;2017-05-23 13:32:59;2017-05-23 13:32:59;Microsoft Windows 10 Education;lashirr1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB4PC12;
LIB4PC13;2017-05-23 12:17:20;2017-05-23 12:17:20;Microsoft Windows 10 Education;aokg99;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB4PC13;
LIB4PC14;2017-05-22 10:29:10;2017-05-22 10:29:10;Microsoft Windows 10 Education;leek5;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB4PC14;
LIB4PC15;2017-05-23 16:32:10;2017-05-23 16:32:10;Microsoft Windows 10 Education;psomani1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB4PC15;
LIB4PC16;2017-05-23 12:12:56;2017-05-23 12:12:56;Microsoft Windows 10 Education;pr35371;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB4PC16;
LIB4PC17;2017-05-19 13:49:15;2017-05-19 13:49:15;Microsoft Windows 10 Education;skim44;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB4PC17;
LIB4PC18;2017-05-21 23:32:17;2017-05-21 23:32:17;Microsoft Windows 10 Education;brd1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB4PC18;
LIB4PC19;2017-05-16 17:41:37;2017-05-16 17:41:37;Microsoft Windows 10 Education;devo7;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB4PC19;
LIB6PC01;2017-05-23 15:16:34;2017-05-23 15:16:34;Microsoft Windows 10 Education;aokg99;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB6PC01;
LIB6PC02;2017-05-23 14:22:03;2017-05-23 14:22:03;Microsoft Windows 10 Education;yo92092;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB6PC02;
LIB6PC03;2017-05-22 23:21:22;2017-05-22 23:21:22;Microsoft Windows 10 Education;aokg99;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB6PC03;
LIB6PC04;2017-05-23 04:42:23;2017-05-23 04:42:23;Microsoft Windows 10 Education;aokg99;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB6PC04;
LIB6PC05;2017-05-23 16:12:11;2017-05-23 16:12:11;Microsoft Windows 10 Education;angelab2;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB6PC05;
LIB6PC06;2017-05-22 23:57:07;2017-05-22 23:57:07;Microsoft Windows 10 Education;wabt1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB6PC06;
LIB6PC07;2017-05-23 11:22:51;2017-05-23 00:39:51;Microsoft Windows 10 Education;hector1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB6PC07;
LIB6PC08;2017-05-22 19:33:06;2017-05-22 19:33:06;Microsoft Windows 10 Education;aokg7;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB6PC08;
LIB6PC09;2017-05-22 23:40:38;2017-05-22 23:40:38;Microsoft Windows 10 Education;dgess1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB6PC09;
LIB6PC10;2017-05-22 03:50:14;2017-05-22 03:50:14;Microsoft Windows 10 Education;wong6;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB6PC10;
LIB6PC11;2017-05-22 19:51:05;2017-05-22 19:51:05;Microsoft Windows 10 Education;hq35730;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB6PC11;
LIB6PC12;2017-05-22 23:37:18;2017-05-22 23:37:18;Microsoft Windows 10 Education;Song11;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB6PC12;
LIB6PC14;2017-05-22 19:27:44;2017-05-22 19:27:44;Microsoft Windows 10 Education;aa18;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB6PC14;
LIB6PC15;2017-05-23 12:38:44;2017-05-23 12:38:44;Microsoft Windows 10 Education;smehnng1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB6PC15;
LIB6PC16;2017-05-23 00:31:02;2017-05-23 00:31:02;Microsoft Windows 10 Education;sokh2;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB6PC16;
LIB7PC07;2017-05-22 23:35:39;2017-05-22 23:35:39;Microsoft Windows 10 Education;tumi;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC07;
LIB7PC08;2017-05-22 23:59:13;2017-05-22 23:59:13;Microsoft Windows 10 Education;howard7;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC08;
LIB7PC09;2017-05-23 12:27:05;2017-05-23 12:27:05;Microsoft Windows 10 Education;tkim13;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC09;
LIB7PC11;2017-05-23 09:26:52;2017-05-23 09:26:52;Microsoft Windows 10 Education;alfonso4;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC11;
LIB7PC13;2017-05-21 23:40:08;2017-05-21 23:40:08;Microsoft Windows 10 Education;c159;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC13;
LIB7PC14;2017-05-23 17:23:14;2017-05-23 12:49:05;Microsoft Windows 10 Education;Stacy7;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC14;
LIB7PC15;2017-05-23 10:54:17;2017-05-23 10:54:17;Microsoft Windows 10 Education;maheena1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC15;
LIB7PC16;2017-05-22 23:46:59;2017-05-22 23:46:59;Microsoft Windows 10 Education;joshsen1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC16;
LIB7PC17;2017-05-23 05:55:24;2017-05-23 05:55:24;Microsoft Windows 10 Education;janampa1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC17;
LIB7PC18;2017-05-21 23:22:27;2017-05-21 23:22:27;Microsoft Windows 10 Education;devo7;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC18;
LIB7PC19;2017-05-23 09:27:31;2017-05-23 09:27:31;Microsoft Windows 10 Education;janampa1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC19;
LIB7PC20;2017-05-22 18:18:07;2017-05-22 18:18:07;Microsoft Windows 10 Education;aa18;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC20;
LIB7PC21;2017-05-23 10:15:17;2017-05-23 10:15:17;Microsoft Windows 10 Education;kenbohr1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC21;
LIB7PC23;2017-05-23 06:51:54;2017-05-23 06:51:54;Microsoft Windows 10 Education;owoeye1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC23;
LIB7PC24;2017-05-23 11:54:13;2017-05-23 11:54:13;Microsoft Windows 10 Education;yr12850;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC24;
LIB7PC25;2017-05-23 01:20:55;2017-05-23 01:20:55;Microsoft Windows 10 Education;emerson5;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC25;
LIB7PC26;2017-05-22 19:26:47;2017-05-22 19:26:47;Microsoft Windows 10 Education;gitambi1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC26;
LIB7PC27;2017-05-22 20:57:52;2017-05-22 20:57:52;Microsoft Windows 10 Education;fkme;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC27;
LIB7PC28;2017-05-23 03:15:23;2017-05-23 03:15:23;Microsoft Windows 10 Education;fkme;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC28;
LIB7PC29;2017-05-23 02:23:30;2017-05-23 02:23:30;Microsoft Windows 10 Education;ZK60851;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC29;
LIB7PC30;2017-05-23 04:37:31;2017-05-23 04:37:31;Microsoft Windows 10 Education;armelle1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC30;
RCL1PC17;2017-02-08 15:06:04;2017-02-08 15:06:04;Microsoft Windows 10 Education;Administrator;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RCL1PC17;
RCL1PC17;2017-05-22 17:36:42;2017-05-22 17:36:42;Microsoft Windows 10 Education;cw9;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC17;
RLC1PC01;2017-05-23 13:50:51;2017-05-23 13:50:51;Microsoft Windows 10 Education;abooth3;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC01;
RLC1PC02;2017-04-10 23:19:38;2017-04-10 23:19:38;Microsoft Windows 10 Education;fikirej1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC02;
RLC1PC03;2017-05-21 13:38:30;2017-05-21 13:38:30;Microsoft Windows 10 Education;nguyen15;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC03;
RLC1PC04;2017-05-23 06:38:32;2017-05-23 06:38:32;Microsoft Windows 10 Education;rchurch1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC04;
RLC1PC05;2017-05-21 08:40:12;2017-05-21 08:40:12;Microsoft Windows 10 Education;dom6;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC05;
RLC1PC06;2017-05-22 22:57:52;2017-05-22 22:57:52;Microsoft Windows 10 Education;yo06819;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC06;
RLC1PC07;2017-05-21 10:07:21;2017-05-21 10:07:21;Microsoft Windows 10 Education;mcleodj1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC07;
RLC1PC08;2017-05-23 13:38:25;2017-05-23 13:38:25;Microsoft Windows 10 Education;francm1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC08;
RLC1PC09;2017-05-22 06:55:30;2017-05-22 06:55:30;Microsoft Windows 10 Education;abkasim1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC09;
RLC1PC10;2017-05-21 05:34:00;2017-05-21 05:34:00;Microsoft Windows 10 Education;sx96298;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC10;
RLC1PC11;2017-05-23 09:27:14;2017-05-23 09:27:14;Microsoft Windows 10 Education;aokg99;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC11;
RLC1PC12;2017-05-22 21:48:23;2017-05-22 21:48:23;Microsoft Windows 10 Education;tent1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC12;
RLC1PC13;2017-05-23 09:34:39;2017-05-23 09:34:39;Microsoft Windows 10 Education;trann1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC13;
RLC1PC14;2017-05-22 09:24:14;2017-05-22 09:24:14;Microsoft Windows 10 Education;ry13;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC14;
RLC1PC16;2017-05-23 14:51:29;2017-05-23 14:51:29;Microsoft Windows 10 Education;aokg99;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC16;
RLCMEET;2017-05-23 15:16:13;2017-05-23 15:16:13;Microsoft Windows 10 Education;besset1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLCMEET;